taxa,decay_rate,buff_width,tws,cv_score,delta_score
bats,0,1000,0 3 0,5825.011056287205,-2.310805890904703
bats,50,1000,0 3 0,5829.78199122091,-7.081740824609369
bats,50,1000,0 2 1,5833.873864034204,-11.173613637904054
bats,100,1000,0 0 3,5835.80729586609,-13.107045469789227
bats,0,1000,1 1 1,5835.967715526092,-13.267465129792072
bats,50,1000,0 0 3,5836.181175998354,-13.480925602053503
bats,50,1000,3 0 0,5836.201756311397,-13.501505915096459
bats,0,500,0 3 0,5836.382999542575,-13.682749146274546
bats,100,500,0 0 3,5836.70755344192,-14.007303045619665
bats,50,1000,2 0 1,5837.840625252063,-15.140374855762275
bats,100,1000,3 0 0,5838.247222374439,-15.546971978138572
bats,0,500,2 1 0,5838.943950927465,-16.243700531164905
bats,100,1000,2 0 1,5839.235388421679,-16.53513802537873
bats,50,1000,1 1 1,5839.911101522431,-17.210851126130365
bats,100,500,3 0 0,5839.931715573372,-17.231465177071186
bats,0,500,3 0 0,5840.320711179596,-17.62046078329604
bats,50,500,2 0 1,5840.780185770465,-18.07993537416496
bats,0,1000,1 2 0,5841.011974396162,-18.311723999861897
bats,0,1000,2 1 0,5841.058562501202,-18.358312104901415
bats,50,1000,1 0 2,5841.499130955564,-18.798880559264035
bats,50,500,3 0 0,5842.359366163869,-19.659115767568437
bats,100,1000,0 3 0,5842.591544289232,-19.89129389293157
bats,50,500,1 1 1,5843.312495920567,-20.612245524266655
bats,0,500,1 1 1,5843.886935702189,-21.186685305888204
bats,100,1000,2 1 0,5844.177131968301,-21.47688157200082
bats,0,1000,2 0 1,5844.347118678573,-21.646868282272408
bats,0,1000,0 0 3,5844.8500775957955,-22.14982719949512
bats,100,1000,1 1 1,5844.852634436363,-22.152384040062316
bats,50,1000,1 2 0,5844.909341135966,-22.209090739665953
bats,0,1000,3 0 0,5845.08000057773,-22.3797501814297
bats,50,1000,0 1 2,5845.17882659724,-22.478576200939642
bats,50,500,0 2 1,5845.192393855126,-22.49214345882592
bats,0,100,0 2 1,5845.389663171584,-22.689412775283927
bats,0,100,0 0 3,5845.823645025617,-23.123394629316863
bats,0,500,0 0 3,5847.338632273444,-24.63838187714373
bats,100,500,1 1 1,5847.484109424132,-24.783859027831568
bats,100,1000,0 1 2,5848.026333375986,-25.326082979685452
bats,100,1000,1 0 2,5848.970848000405,-26.270597604104296
bats,100,1000,1 2 0,5849.2523399377,-26.552089541399255
bats,0,100,1 1 1,5849.490791312656,-26.790540916355894
bats,100,1000,0 2 1,5849.636970065385,-26.936719669084596
bats,0,1000,0 1 2,5850.989042207075,-28.288791810774455
bats,0,500,0 1 2,5852.177139437596,-29.47688904129609
bats,50,500,0 3 0,5852.299867822435,-29.5996174261345
bats,100,100,1 0 2,5853.492681125326,-30.79243072902591
