point,ucb_name,can_cov,shr_cov
ICB17.9,NA,NA,NA
ICB17.10,NA,NA,NA
ICB19.1,NA,NA,NA
ICB19.2,NA,NA,NA
ICB19.4,NA,NA,NA
ICB19.5,NA,NA,NA
ICB19.6,NA,NA,NA
ICB19.8,NA,NA,NA
ICB19.9,NA,NA,NA
ICB19.10,NA,NA,NA
ICB24.1,NA,NA,NA
ICB24.2,NA,NA,NA
ICB24.3,NA,NA,NA
ICB24.4,NA,NA,NA
ICB24.5,NA,NA,NA
ICB24.6,NA,NA,NA
ICB24.8,NA,NA,NA
ICB24.9,NA,NA,NA
ICB24.10,NA,NA,NA
ICB33.1,NA,NA,NA
ICB33.3,NA,NA,NA
ICB33.4,NA,NA,NA
ICB33.5,NA,NA,NA
ICB33.6,NA,NA,NA
ICB33.7,NA,NA,NA
ICB33.8,NA,NA,NA
ICB33.9,NA,NA,NA
ICB33.10,NA,NA,NA
ICB34.1,NA,NA,NA
ICB34.3,NA,NA,NA
ICB34.4,NA,NA,NA
ICB34.6,NA,NA,NA
ICB34.7,NA,NA,NA
ICB34.8,NA,NA,NA
ICB34.9,NA,NA,NA
ICB36.1,NA,NA,NA
ICB36.2,NA,NA,NA
ICB36.3,NA,NA,NA
ICB36.4,NA,NA,NA
ICB36.5,NA,NA,NA
ICB36.6,NA,NA,NA
ICB36.8,NA,NA,NA
ICB36.10,NA,NA,NA
ICB37.1,NA,NA,NA
ICB37.2,NA,NA,NA
ICB37.4,NA,NA,NA
ICB37.5,NA,NA,NA
ICB37.6,NA,NA,NA
ICB37.7,NA,NA,NA
ICB37.8,NA,NA,NA
ICB37.9,NA,NA,NA
ICB41.1,NA,20,28
ICB41.2,NA,35,14
ICB41.3,NA,47,8
ICB41.4,NA,12,18
ICB41.5,NA,32,26
ICB41.6,NA,30,6
ICB41.7,NA,10,15
ICB41.8,NA,15,33
ICB41.9,NA,52,7
ICB47.1,NA,10,50
ICB47.2,NA,8,38
ICB47.3,NA,5,53
ICB47.4,NA,13,36
ICB47.5,NA,18,37
ICB47.6,NA,7,23
ICB47.7,NA,10,32
ICB47.8,NA,30,12
ICB47.9,NA,7,60
ICB47.10,NA,10,35
ICB48.1,NA,NA,NA
ICB48.2,NA,NA,NA
ICB48.3,NA,NA,NA
ICB48.4,NA,NA,NA
ICB48.5,NA,NA,NA
ICB48.6,NA,NA,NA
ICB48.7,NA,NA,NA
ICB48.8,NA,NA,NA
